"gene","TF_family"
"TraesCS1D02G395000","ABI3/VP1"
"TraesCS2A02G402100","ABI3/VP1"
"TraesCS2A02G554300","ABI3/VP1"
"TraesCS2B02G185600","ABI3/VP1"
"TraesCS2D02G167000","ABI3/VP1"
"TraesCS2D02G167100","ABI3/VP1"
"TraesCS3D02G238900","ABI3/VP1"
"TraesCS4A02G429600","ABI3/VP1"
"TraesCS4A02G489500","ABI3/VP1"
"TraesCS4B02G164700","ABI3/VP1"
"TraesCS5A02G095700","ABI3/VP1"
"TraesCS5A02G104300","ABI3/VP1"
"TraesCS5A02G298100","ABI3/VP1"
"TraesCS5B02G297100","ABI3/VP1"
"TraesCS5B02G514700","ABI3/VP1"
"TraesCS5D02G207700","ABI3/VP1"
"TraesCS5D02G304900","ABI3/VP1"
"TraesCS5D02G496200","ABI3/VP1"
"TraesCS6A02G217800","ABI3/VP1"
"TraesCS6B02G094300","ABI3/VP1"
"TraesCS7B02G406600","ABI3/VP1"
"TraesCS7B02G467900","ABI3/VP1"
"TraesCS1A02G075800","ABI3/VP1"
"TraesCS1A02G200500","ABI3/VP1"
"TraesCS1A02G219300","ABI3/VP1"
"TraesCS1A02G252100","ABI3/VP1"
"TraesCS1A02G302700","ABI3/VP1"
"TraesCS1A02G399700","ABI3/VP1"
"TraesCS1B02G144100","ABI3/VP1"
"TraesCS1B02G215000","ABI3/VP1"
"TraesCS1B02G308800","ABI3/VP1"
"TraesCS1B02G312900","ABI3/VP1"
"TraesCS1B02G395700","ABI3/VP1"
"TraesCS1B02G427800","ABI3/VP1"
"TraesCS1D02G078100","ABI3/VP1"
"TraesCS1D02G128600","ABI3/VP1"
"TraesCS1D02G203900","ABI3/VP1"
"TraesCS1D02G292200","ABI3/VP1"
"TraesCS1D02G302100","ABI3/VP1"
"TraesCS1D02G407400","ABI3/VP1"
"TraesCS2A02G009100","ABI3/VP1"
"TraesCS2A02G077500","ABI3/VP1"
"TraesCS2A02G105600","ABI3/VP1"
"TraesCS2A02G144100","ABI3/VP1"
"TraesCS2A02G153200","ABI3/VP1"
"TraesCS2A02G159800","ABI3/VP1"
"TraesCS2A02G204300","ABI3/VP1"
"TraesCS2A02G283200","ABI3/VP1"
